Trial_ID,candidate_id,source_title,dataset_doi,cleaned_csv,cleaned_rds,decision,notes
,RCTC-00079,,,,,not_qualified,Public data do not expose randomized arm/model assignment in participant table.
,RCTC-00135,,,,,not_qualified,No associated main journal publication identified on the Dryad record; keep out of active set until resolved.
,RCTC-00158,,,,,not_qualified,Not an RCT participant-level dataset; graph data for representativeness study.
,RCTC-00161,,,,,not_qualified,Publication/data title is non-randomised controlled trial; table not participant-level outcome data.
,RCTC-00896,,,,,not_qualified,Survey summary workbook lacks clear participant-level treatment assignment.
,RCTC-01810,,,,,not_qualified,"Summary workbook is aggregate-level, not participant-level."
,RCTC-01873,,,,,not_qualified,WINGS intervention dataset lacks individual treatment assignment sufficient for compact RCT cleaning.
,RCTC-01889,,,,,not_qualified,"SPSS file contains summarized group variables, not participant-level rows."
,RCTC-01934,,,,,not_qualified,"Figure-source workbook is aggregate/figure data, not participant-level trial data."
,RCTC-01941,,,,,not_qualified,Dryad record states non-randomized single-arm interventional trial.
,RCTC-05141,,,,,not_qualified,Combined depression database has multiple studies/stages; randomized sertraline contrast not cleanly isolated for this pass.
,RCTC-05210,,,,,not_qualified,Randomized crossover design; not added to non-clustered parallel-arm benchmark without a prespecified crossover handling rule.
,RCTC-05223,,,,,not_qualified,Already original benchmark / duplicate DOI signal in screening records.
,RCTC-05235,,,,,not_qualified,Household-randomized trial; excluded from non-clustered benchmark.
,RCTC-05250,,,,,not_qualified,Patient-preference arm and raw sheet formatting require treatment/filter reconciliation before compact cleaning.
97,RCTC-00152,Effect of a tailored multidimensional intervention on care burden,10.5061/dryad.gf1vhhmm5,rct_expansion/cleaned_data/trial97.csv,rct_expansion/cleaned_data/trial97.rds,qualified_cleaned,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
98,RCTC-00166,P. vivax/P. ovale hypnozoite reservoir trial,10.5061/dryad.m1n03,rct_expansion/cleaned_data/trial98.csv,rct_expansion/cleaned_data/trial98.rds,qualified_cleaned,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
99,RCTC-00167,Education and support package for stroke patients/carers,10.5061/dryad.4ms68,rct_expansion/cleaned_data/trial99.csv,rct_expansion/cleaned_data/trial99.rds,qualified_cleaned,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
